PMID,Year,Title,Journal,Host Species,Host Species Ontology ID,Host Species Ontology Candidates,Body Site,Body Site Ontology ID,Body Site Ontology Candidates,Condition,Condition Ontology ID,Condition Ontology Candidates,Sample Size,Sequencing Type,Differential Abundance,In bsgdb
32075882,,Perinatal Antibiotic Exposure Affects the Transmission between Maternal and Neonatal Microbiota and Is Associated with Early-Onset Sepsis.,,Homo sapiens,NCBITaxon:9606,,,,,,,,,16S,No,No
31215600,,Relationship between acetaldehyde concentration in mouth air and characteristics of microbiota of tongue dorsum in Japanese healthy adults: a cross-sectional study.,,Homo sapiens,NCBITaxon:9606,,saliva,UBERON:0001836,,,,,,16S,Yes,No
31160598,,Sex-specific association between gut microbiome and fat distribution.,,Homo sapiens,NCBITaxon:9606,,,,,obesity,EFO:0001073,,,,No,No
31126003,,Air pollution during the winter period and respiratory tract microbial imbalance in a healthy young population in Northeastern China.,,Homo sapiens,NCBITaxon:9606,,saliva,UBERON:0001836,,,,,,16S,Yes,No
31123265,,Altered respiratory virome and serum cytokine profile associated with recurrent respiratory tract infections in children.,,Homo sapiens,NCBITaxon:9606,,,,,,,,,,Yes,No
31053143,,The combination of sport and sport-specific diet is associated with characteristics of gut microbiota: an observational study.,,Homo sapiens,NCBITaxon:9606,,feces,UBERON:0001988,,healthy,EFO:0000246,,,other,Yes,No
30919073,,The oral microbiome of patients undergoing treatment for severe aplastic anemia: a pilot study.,,Homo sapiens,NCBITaxon:9606,,saliva,UBERON:0001836,,,,,229,16S,Yes,No
30888539,,"Glutamate interactions with obesity, insulin resistance, cognition and gut microbiota composition.",,Homo sapiens,NCBITaxon:9606,,feces,UBERON:0001988,,,,,35,metagenomics,Yes,No
30875283,,Oral microbial dysbiosis in patients with Kostmann syndrome.,,Homo sapiens,NCBITaxon:9606,,saliva,UBERON:0001836,,Kostmann syndrome,MONDO:0012548,,,16S,Yes,No
30867067,,Prebiotic supplementation in frail older people affects specific gut microbiota taxa but not global diversity.,,Mus musculus,NCBITaxon:10090,,,,,,,,,,Yes,No
30866773,,Differential effects of depot medroxyprogesterone acetate administration on vaginal microbiome in Hispanic White and Black women.,,Homo sapiens,NCBITaxon:9606,,,,,,,,,16S,Yes,No
30854760,,Prospective observational study of vaginal microbiota pre- and post-rescue cervical cerclage.,,Homo sapiens,NCBITaxon:9606,,,,,,,,,other,Yes,No
30813950,,Environmental toxicants in breast milk of Norwegian mothers and gut bacteria composition and metabolites in their infants at 1 month.,,,,,feces,UBERON:0001988,,,,,,16S,No,No
30803537,,Microbiome of Deep Dentinal Caries from Reversible Pulpitis to Irreversible Pulpitis.,,,,,,,,,,,13,16S,Yes,No
30791484,,Daidzein Intake Is Associated with Equol Producing Status through an Increase in the Intestinal Bacteria Responsible for Equol Production.,,Homo sapiens,NCBITaxon:9606,,,,,,,,458,16S,No,No
30791436,,Effect of Selected Stilbenoids on Human Fecal Microbiota.,,Homo sapiens,NCBITaxon:9606,,feces,UBERON:0001988,,,,,,16S,No,No
30770768,,Genome-resolved metagenomics of eukaryotic populations during early colonization of premature infants and in hospital rooms.,,,,,feces,UBERON:0001988,,,,,,16S,Yes,No
30764497,,Autism Spectrum Disorder (ASD) with and without Mental Regression is Associated with Changes in the Fecal Microbiota.,,Homo sapiens,NCBITaxon:9606,,feces,UBERON:0001988,,,,,,metagenomics,No,No
30719912,,Modulation of Gut Microbiota by Soybean 7S Globulin Peptide That Involved Lipopolysaccharide-Peptide Interaction.,,Homo sapiens,NCBITaxon:9606,,,,,,,,,,No,No
30707176,,Gut microbiota analysis and its significance in vasovagal syncope in children.,,Homo sapiens,NCBITaxon:9606,,feces,UBERON:0001988,,,,,,16S,Yes,No
30696735,,Dynamics of Human Gut Microbiota and Short-Chain Fatty Acids in Response to Dietary Interventions with Three Fermentable Fibers.,,Homo sapiens,NCBITaxon:9606,,,,,,,,,,No,No
30682843,,The Effects of Dietary Pattern during Intensified Training on Stool Microbiota of Elite Race Walkers.,,Homo sapiens,NCBITaxon:9606,,feces,UBERON:0001988,,,,,,16S,No,No
30678168,,Impact of Grain Sorghum Polyphenols on Microbiota of Normal Weight and Overweight/Obese Subjects during In Vitro Fecal Fermentation.,,Homo sapiens,NCBITaxon:9606,,,,,,,,,,No,No
30665461,,Population structure of human gut bacteria in a diverse cohort from rural Tanzania and Botswana.,,,,,,,,,,,,16S,Yes,No
30664020,,The effect of surgical fecal stream diversion of the healthy colon on the colonic microbiota.,,Homo sapiens,NCBITaxon:9606,,feces,UBERON:0001988,,,,,28,,Yes,No
30661321,,Comparison of the Gut Microbiota of Centenarians in Longevity Villages of South Korea with Those of Other Age Groups.,,,,,feces,UBERON:0001988,,,,,,,No,No
30642268,,Viral species richness and composition in young children with loose or watery stool in Ethiopia.,,,,,feces,UBERON:0001988,,,,,,metagenomics,Yes,No
30633889,,Establishment of vaginal microbiota composition in early pregnancy and its association with subsequent preterm prelabor rupture of the fetal membranes.,,Homo sapiens,NCBITaxon:9606,,,,,,,,38,,No,No
30604790,,Modification of wheat bran particle size and tissue composition affects colonisation and metabolism by human faecal microbiota.,,Homo sapiens,NCBITaxon:9606,,feces,UBERON:0001988,,,,,,,Yes,No
30599284,,Pathogen reservoir hypothesis investigated by analyses of the adenotonsillar and middle ear microbiota.,,Homo sapiens,NCBITaxon:9606,,,,,,,,,16S,Yes,No
30574802,,Eczema-protective probiotic alters infant gut microbiome functional capacity but not composition: sub-sample analysis from a RCT.,,,,,feces,UBERON:0001988,,,,,,metagenomics,No,No
30542916,,Subgingival Microbial Changes During the First 3 Months of Fixed Appliance Treatment in Female Adult Patients.,,Homo sapiens,NCBITaxon:9606,,,,,,,,,16S,Yes,No
30520232,,Changes in the distal esophageal microbiota in Chinese patients with reflux esophagitis.,,Homo sapiens,NCBITaxon:9606,,,,,healthy,EFO:0000246,,,16S,Yes,No
30508628,,Microbial biomarkers of common tongue coatings in patients with gastric cancer.,,Homo sapiens,NCBITaxon:9606,,,,,gastric cancer,MONDO:0001056,,,16S,Yes,No
30503971,,The role of gut microbiome and its interaction with arsenic exposure in carotid intima-media thickness in a Bangladesh population.,,Homo sapiens,NCBITaxon:9606,,feces,UBERON:0001988,,,,,250,16S,Yes,No
30440093,,Evaluation of gastric microbiome and metagenomic function in patients with intestinal metaplasia using 16S rRNA gene sequencing.,,Homo sapiens,NCBITaxon:9606,,,,,cancer,MONDO:0004992,,,16S,Yes,No
30417607,,Composition of gut microbiota and its association with body mass index and lifestyle factors in a cohort of 7-18 years old children from the American Gut Project.,,,,,,,,obesity,EFO:0001073,,,16S,Yes,No
30366118,,The gut microbiome of Mexican children affected by obesity.,,Homo sapiens,NCBITaxon:9606,,feces,UBERON:0001988,,obesity,EFO:0001073,,,metagenomics,Yes,No
30292647,,Structural and functional profiles of the gut microbial community in polycystic ovary syndrome with insulin resistance (IR-PCOS): a pilot study.,,Homo sapiens,NCBITaxon:9606,,,,,healthy,EFO:0000246,,9,16S,Yes,No
30239655,,The Human Mesenteric Lymph Node Microbiome Differentiates Between Crohn's Disease and Ulcerative Colitis.,,Homo sapiens,NCBITaxon:9606,,,,,Crohn disease,EFO:0000384,,,16S,No,No
30171206,,Low nadir CD4+ T-cell counts predict gut dysbiosis in HIV-1 infection.,,Homo sapiens,NCBITaxon:9606,,feces,UBERON:0001988,,,,,156,metagenomics,Yes,No
30117171,,A prospective study to examine the association of the urinary and fecal microbiota with prostate cancer diagnosis after transrectal biopsy of the prostate using 16sRNA gene analysis.,,Homo sapiens,NCBITaxon:9606,,feces,UBERON:0001988,,prostate cancer,MONDO:0008315,,16,16S,Yes,No
29791775,,Vaginal microbiome in early pregnancy and subsequent risk of spontaneous preterm birth: a case-control study.,,Homo sapiens,NCBITaxon:9606,,,,,,,,356,16S,No,No
29708822,,"Rifaximin is associated with modest, transient decreases in multiple taxa in the gut microbiota of patients with diarrhoea-predominant irritable bowel syndrome.",,Homo sapiens,NCBITaxon:9606,,feces,UBERON:0001988,,,,,103,16S,Yes,No
29509315,,The Effect of Lean-Seafood and Non-Seafood Diets on Fecal Metabolites and Gut Microbiome: Results from a Randomized Crossover Intervention Study.,,Homo sapiens,NCBITaxon:9606,,feces,UBERON:0001988,,,,,,,Yes,No
30171064,,Population-level analysis of ,,Homo sapiens,NCBITaxon:9606,,feces,UBERON:0001988,,inflammatory bowel disease,EFO:0003764,,107,16S,No,No
30553628,,A case of pulmonary mucormycosis presented as Pancoast syndrome and bone destruction in an immunocompetent adult mimicking lung carcinoma.,,Homo sapiens,NCBITaxon:9606,,saliva,UBERON:0001836,,,,,,,No,No
30583154,,"Spatial and temporal variation of antibiotic resistance in marine fish cage-culture area of Guangdong, China.",,Homo sapiens,NCBITaxon:9606,,,,,,,,,,Yes,No
30293222,,Melioidosis mimicking miliary tuberculosis.,,Homo sapiens,NCBITaxon:9606,,,,,,,,,,No,No
30531975,,GABA-modulating bacteria of the human gut microbiota.,,,,,,,,,,,,,No,No
30423465,,Effect of bifidobacterium breve A-1 on anxiety and depressive symptoms in schizophrenia: A proof-of-concept study.,,Homo sapiens,NCBITaxon:9606,,,,,,,,,,Yes,No
30051546,,A step ahead: Exploring the gut microbiota in inpatients with bipolar disorder during a depressive episode.,,Homo sapiens,NCBITaxon:9606,,feces,UBERON:0001988,,healthy,EFO:0000246,,,16S,Yes,No
30447610,,Assessment of the adverse impacts of aflatoxin B,,,,,,,,,,,,,No,No
30500755,,Impacts of dietary silver nanoparticles and probiotic administration on the microbiota of an in-vitro gut model.,,Homo sapiens,NCBITaxon:9606,,,,,,,,,,No,No
